,Unnamed: 0,UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,Fire Alarm
55309,55309,1654716354,37.92,42.14,6554,400,13049,19540,936.902,0.4,0.42,2.75,0.429,0.01,4167,0
51856,51856,1654712901,27.56,41.19,100,484,12760,20646,937.534,2.2,2.29,15.14,2.361,0.053,714,0
17337,17337,1654750668,15.489,53.69,1143,400,12898,19435,938.753,1.88,1.95,12.91,2.013,0.045,17337,1
23361,23361,1654756692,-21.499,48.07,1354,400,12977,19396,938.698,1.93,2.0,13.27,2.07,0.047,23361,1
59494,59494,1655126916,10.222,44.7,154,416,12778,20571,937.339,1.78,1.85,12.23,1.907,0.043,2608,0
3037,3037,1654736368,11.139,46.79,193,400,13136,19980,939.658,0.68,0.71,4.68,0.73,0.016,3037,0
1726,1726,1654735057,24.663,49.43,18,400,13142,20045,939.622,0.55,0.57,3.77,0.588,0.013,1726,0
22806,22806,1654756137,-21.15,50.47,1325,400,12975,19399,938.718,1.91,1.98,13.15,2.05,0.046,22806,1
3617,3617,1654736948,3.952,52.28,330,400,13112,19889,939.668,1.51,1.57,10.4,1.621,0.037,3617,1
60900,60900,1655128322,16.019,62.11,2304,400,13349,20043,937.012,0.63,0.65,4.32,0.673,0.015,4014,0
55368,55368,1654716413,41.69,35.18,10136,400,12858,19296,936.86,0.44,0.46,3.04,0.473,0.011,4226,0
2956,2956,1654736287,12.142,46.6,147,400,13160,20027,939.632,0.85,0.88,5.82,0.908,0.021,2956,0
20016,20016,1654753347,16.483,51.08,1251,413,12924,19419,938.738,1.52,1.58,10.43,1.627,0.037,20016,1
2178,2178,1654735509,20.919,54.35,0,400,13189,20112,939.6,0.96,1.0,6.63,1.034,0.023,2178,0
56931,56931,1655124353,22.564,38.54,12,422,12865,20777,937.587,1.92,2.0,13.23,2.062,0.047,45,0
22878,22878,1654756209,-21.486,48.15,1344,400,12978,19393,938.736,1.94,2.02,13.37,2.086,0.047,22878,1
18566,18566,1654751897,20.209,47.47,1210,408,12910,19428,938.725,1.59,1.65,10.92,1.703,0.038,18566,1
15297,15297,1654748628,12.439,53.42,1172,440,12861,19437,938.824,2.09,2.17,14.36,2.239,0.051,15297,1
25227,25227,1654761576,13.29,53.35,7,400,12632,19701,939.825,0.05,0.08,0.21,0.094,0.038,233,0
26047,26047,1654762396,16.27,49.91,8,400,13043,19949,939.771,0.36,0.37,2.46,0.384,0.009,1053,0
56978,56978,1655124400,24.59,39.93,36,415,12864,20747,937.616,2.17,2.25,14.93,2.328,0.053,92,0
53920,53920,1654714965,25.78,48.96,153,418,12782,20571,937.381,1.6,1.66,11.01,1.717,0.039,2778,0
57706,57706,1655125128,4.539,40.82,94,422,12782,20661,937.56,2.02,2.1,13.92,2.171,0.049,820,0
59629,59629,1655127051,16.207,42.4,149,418,12780,20568,937.35,2.12,2.2,14.61,2.278,0.051,2743,0
14446,14446,1654747777,15.514,52.64,1117,467,12862,19450,938.915,1.91,1.98,13.13,2.047,0.046,14446,1
25783,25783,1654762132,12.6,56.2,14,400,12951,19882,939.791,0.18,0.18,1.22,0.19,0.004,789,0
26480,26480,1654762829,17.74,50.41,2,400,13122,20015,939.704,0.61,0.63,4.2,0.655,0.015,1486,0
20253,20253,1654753584,13.935,49.1,1352,436,12916,19383,938.73,1.67,1.74,11.52,1.797,0.041,20253,1
55603,55603,1654716648,48.83,23.67,22729,677,12674,18905,936.893,0.74,0.77,5.1,0.795,0.018,4461,0
54338,54338,1654715383,25.82,48.95,207,425,12764,20515,937.388,1.67,1.74,11.52,1.796,0.041,3196,0
60385,60385,1655127807,12.581,45.21,0,400,13181,20978,937.466,1.83,1.9,12.6,1.965,0.044,3499,0
19111,19111,1654752442,20.758,47.38,1300,428,12911,19404,938.715,1.59,1.65,10.95,1.707,0.039,19111,1
17055,17055,1654750386,14.443,48.1,1122,404,12897,19432,938.801,1.85,1.92,12.75,1.988,0.045,17055,1
51458,51458,1654712503,26.68,45.82,50,405,12835,20725,937.563,2.1,2.18,14.47,2.257,0.051,316,0
27165,27165,1654763514,17.21,53.92,0,400,13182,20113,939.604,0.83,0.86,5.68,0.886,0.02,2171,0
19859,19859,1654753190,17.822,54.04,1205,412,12924,19429,938.722,1.76,1.83,12.09,1.886,0.043,19859,1
62249,62249,1655129671,-21.591,11.27,14409,400,13082,19093,936.708,4.38,4.56,30.16,4.707,0.109,5363,0
52881,52881,1654713926,26.48,45.41,91,401,12781,20628,937.403,1.75,1.82,12.08,1.884,0.043,1739,0
13540,13540,1654746871,19.701,51.69,1164,526,12839,19435,938.85,2.06,2.14,14.15,2.206,0.05,13540,1
13118,13118,1654746449,20.746,51.05,1189,557,12830,19443,938.913,2.28,2.37,15.67,2.444,0.055,13118,1
55102,55102,1654716147,26.13,69.72,917,400,13292,20385,937.067,0.79,0.83,5.47,0.853,0.019,3960,0
5045,5045,1654738376,-8.5,52.8,25,400,13253,20192,939.685,1.87,1.94,12.86,2.005,0.045,5045,1
16380,16380,1654749711,12.594,53.72,1191,401,12881,19439,938.746,1.76,1.82,12.08,1.884,0.043,16380,1
52247,52247,1654713292,28.07,45.33,82,400,12786,20656,937.536,2.1,2.18,14.47,2.256,0.051,1105,0
16503,16503,1654749834,12.849,52.07,1113,400,12899,19459,938.749,1.77,1.83,12.15,1.895,0.043,16503,1
14396,14396,1654747727,15.759,53.27,1145,467,12860,19453,938.908,1.88,1.96,12.95,2.02,0.046,14396,1
5520,5520,1654738851,-9.275,55.61,0,400,13277,20263,939.725,2.48,2.58,17.06,2.66,0.06,5520,1
5915,5915,1654739246,-8.796,52.31,98,400,13209,20166,939.637,1.77,1.84,12.19,1.9,0.043,5915,1
61915,61915,1655129337,-11.336,22.37,60000,15320,11111,16188,936.85,9476.55,12894.93,57562.25,13817.496,3189.484,5029,0
13810,13810,1654747141,18.61,48.37,1153,509,12852,19449,938.901,2.03,2.11,13.95,2.175,0.049,13810,1
16305,16305,1654749636,12.459,52.79,1151,427,12875,19443,938.746,1.63,1.7,11.25,1.754,0.04,16305,1
26352,26352,1654762701,16.75,54.7,0,400,13112,20018,939.707,0.57,0.59,3.92,0.611,0.014,1358,0
52787,52787,1654713832,27.88,45.7,83,400,12801,20643,937.412,1.81,1.88,12.45,1.941,0.044,1645,0
2289,2289,1654735620,19.81,53.56,20,400,13194,20134,939.585,1.16,1.21,7.98,1.245,0.028,2289,0
55389,55389,1654716434,42.28,20.54,3197,400,12932,19817,936.848,0.86,0.89,5.9,0.921,0.021,4247,0
18208,18208,1654751539,19.085,47.37,1199,400,12912,19439,938.706,1.7,1.77,11.71,1.826,0.041,18208,1
23394,23394,1654756725,-21.342,54.02,1343,403,12973,19391,938.712,1.61,1.67,11.07,1.727,0.039,23394,1
53682,53682,1654714727,25.72,48.9,163,440,12768,20556,937.328,2.0,2.08,13.77,2.147,0.048,2540,0
51041,51041,1654904058,32.26,18.16,172,2436,12588,20528,930.921,0.73,0.76,5.02,0.783,0.018,1053,1
62566,62566,1655129988,6.956,14.72,695,400,13724,20505,936.669,0.6,0.62,4.1,0.64,0.014,5680,0
16545,16545,1654749876,12.946,52.79,1155,403,12891,19447,938.768,1.87,1.95,12.9,2.011,0.045,16545,1
7198,7198,1654740529,-4.774,55.37,226,400,13148,20047,939.521,0.39,0.41,2.7,0.422,0.01,7198,1
3031,3031,1654736362,11.214,45.05,174,400,13144,19994,939.672,0.79,0.82,5.45,0.849,0.019,3031,0
813,813,1654734144,26.833,52.38,0,400,12974,19900,939.811,0.15,0.16,1.06,0.165,0.004,813,0
6708,6708,1654740039,-6.3,55.51,214,400,13136,20050,939.593,0.63,0.66,4.34,0.677,0.015,6708,1
27586,27586,1654763935,17.88,53.52,67,400,13196,20105,939.637,0.89,0.93,6.15,0.959,0.022,2592,0
12870,12870,1654746201,20.826,46.8,1099,551,12836,19467,938.899,1.86,1.93,12.78,1.992,0.045,12870,1
15002,15002,1654748333,13.186,52.84,1030,425,12879,19473,938.827,1.87,1.94,12.85,2.004,0.045,15002,1
18072,18072,1654751403,18.561,48.47,1128,400,12913,19440,938.682,1.9,1.98,13.1,2.043,0.046,18072,1
6275,6275,1654739606,-7.8,52.02,185,400,13160,20081,939.637,0.87,0.9,5.98,0.933,0.021,6275,1
2617,2617,1654735948,16.212,46.7,66,400,13207,20107,939.65,0.88,0.92,6.09,0.95,0.021,2617,0
58107,58107,1655125529,-9.152,47.47,70,400,12792,20656,937.481,1.77,1.84,12.21,1.904,0.043,1221,0
7554,7554,1654740885,-4.16,51.14,264,400,13132,19996,939.465,0.4,0.41,2.75,0.428,0.01,7554,1
3206,3206,1654736537,9.031,58.48,0,400,13362,20359,939.691,2.46,2.55,16.92,2.639,0.06,3206,1
51463,51463,1654712508,26.6,46.06,56,410,12829,20728,937.553,2.06,2.14,14.15,2.207,0.05,321,0
7275,7275,1654740606,-4.594,49.92,253,400,13129,20009,939.501,0.53,0.55,3.62,0.565,0.013,7275,1
7774,7774,1654741105,-4.081,50.39,285,400,13123,19976,939.425,0.48,0.5,3.33,0.519,0.012,7774,1
2841,2841,1654736172,13.55,46.47,97,400,13183,20073,939.647,1.09,1.13,7.51,1.171,0.026,2841,0
53103,53103,1654714148,28.67,41.7,129,400,12783,20586,937.352,1.77,1.84,12.17,1.898,0.043,1961,0
15519,15519,1654748850,12.122,51.64,1191,438,12863,19431,938.826,1.85,1.92,12.74,1.986,0.045,15519,1
60649,60649,1655128071,12.587,38.51,0,400,13434,21278,937.388,1.92,2.0,13.22,2.062,0.047,3763,0
57534,57534,1655124956,13.804,40.17,43,421,12813,20726,937.508,2.16,2.25,14.9,2.323,0.052,648,0
60753,60753,1655128175,13.709,43.35,141,400,13180,21016,937.035,1.95,2.02,13.41,2.092,0.047,3867,0
51663,51663,1654712708,29.35,40.32,60,400,12837,20708,937.506,2.07,2.15,14.24,2.221,0.05,521,0
14915,14915,1654748246,13.482,49.98,1207,476,12858,19438,938.829,1.91,1.99,13.17,2.053,0.046,14915,1
22066,22066,1654755397,-13.892,53.31,1375,417,12962,19379,938.72,1.58,1.65,10.9,1.7,0.038,22066,1
56465,56465,1654717510,59.39,10.95,60000,878,12565,18226,936.717,25.39,28.11,170.37,29.319,2.298,5323,0
670,670,1654734001,26.319,56.0,2,400,12885,19844,939.788,0.21,0.22,1.46,0.228,0.005,670,0
52355,52355,1654713400,26.09,47.03,84,400,12789,20655,937.516,2.11,2.19,14.49,2.26,0.051,1213,0
11060,11060,1654744391,6.977,51.82,961,623,12810,19487,939.101,2.23,2.31,15.33,2.391,0.054,11060,1
54035,54035,1654715080,25.86,48.62,182,420,12773,20541,937.424,1.98,2.06,13.62,2.124,0.048,2893,0
27720,27720,1654764069,20.66,46.97,101,400,13187,20083,939.631,1.11,1.16,7.67,1.196,0.027,2726,0
2511,2511,1654735842,17.421,50.41,53,400,13187,20119,939.626,1.03,1.07,7.1,1.107,0.025,2511,0
20735,20735,1654754066,7.247,49.63,1187,400,12975,19428,938.687,2.46,2.55,16.91,2.637,0.06,20735,1
59182,59182,1655126604,-2.941,48.04,141,400,12786,20585,937.323,1.81,1.88,12.44,1.941,0.044,2296,0
56249,56249,1654717294,53.55,22.76,60000,23517,10901,15613,936.809,12115.3,26887.8,47454.4,30105.797,14174.992,5107,0
22026,22026,1654755357,-13.345,50.43,1346,400,12969,19395,938.737,2.0,2.07,13.74,2.143,0.048,22026,1
10488,10488,1654743819,0.945,48.97,914,698,12768,19496,939.11,2.16,2.25,14.9,2.323,0.052,10488,1
53685,53685,1654714730,27.15,48.99,143,408,12786,20576,937.344,1.96,2.03,13.46,2.098,0.047,2543,0
51604,51604,1654712649,29.41,40.17,64,400,12837,20707,937.532,1.96,2.03,13.47,2.101,0.047,462,0
53432,53432,1654714477,25.91,47.66,138,400,12790,20580,937.346,1.66,1.73,11.43,1.783,0.04,2290,0
61208,61208,1655128630,20.666,30.13,7953,400,12950,19456,936.888,0.27,0.28,1.86,0.29,0.007,4322,0
61930,61930,1655129352,-12.287,25.23,60000,20085,10951,15907,936.817,3073.53,4901.41,16862.11,5341.564,1732.57,5044,0
4692,4692,1654738023,-6.669,49.08,54,400,13250,20163,939.661,2.16,2.25,14.88,2.321,0.052,4692,1
27306,27306,1654763655,19.93,48.6,16,400,13211,20141,939.606,1.06,1.1,7.3,1.138,0.026,2312,0
53959,53959,1654715004,26.6,45.57,180,441,12765,20536,937.402,1.53,1.59,10.56,1.646,0.037,2817,0
51567,51567,1654712612,26.84,45.22,71,401,12830,20697,937.545,1.79,1.86,12.29,1.916,0.043,425,0
21138,21138,1654754469,0.736,47.96,1297,405,12959,19403,938.68,2.2,2.29,15.15,2.363,0.053,21138,1
18441,18441,1654751772,19.869,47.69,1214,401,12915,19427,938.708,1.6,1.67,11.04,1.722,0.039,18441,1
18185,18185,1654751516,19.0,50.69,1147,400,12916,19453,938.695,1.4,1.45,9.6,1.497,0.034,18185,1
20764,20764,1654754095,6.797,50.94,1168,400,12971,19439,938.72,2.21,2.29,15.2,2.37,0.054,20764,1
27034,27034,1654763383,17.37,50.97,48,400,13131,20003,939.64,0.89,0.93,6.15,0.96,0.022,2040,0
18964,18964,1654752295,20.787,51.39,1186,400,12929,19436,938.701,1.5,1.56,10.32,1.609,0.036,18964,1
3404,3404,1654736735,6.562,59.72,292,400,13130,19915,939.651,1.74,1.8,11.94,1.863,0.042,3404,1
56074,56074,1654717119,46.64,28.0,60000,8567,11441,16753,936.865,2899.3,3012.26,19954.69,3111.697,70.281,4932,0
56433,56433,1654717478,56.9,12.16,60000,966,12516,18182,936.703,99.21,110.7,663.69,115.599,9.805,5291,0
58165,58165,1655125587,-9.263,47.46,96,400,12783,20636,937.472,2.15,2.23,14.77,2.303,0.052,1279,0
26784,26784,1654763133,18.95,48.21,43,400,13120,20004,939.606,0.77,0.8,5.28,0.823,0.019,1790,0
12761,12761,1654746092,20.706,51.88,1128,572,12827,19442,938.972,1.67,1.74,11.52,1.797,0.041,12761,1
62572,62572,1655129994,8.022,15.94,827,400,13698,20477,936.685,0.52,0.54,3.56,0.555,0.013,5686,0
18333,18333,1654751664,19.527,48.96,1323,431,12897,19404,938.72,1.6,1.66,10.99,1.713,0.039,18333,1
58627,58627,1655126049,-4.141,46.02,97,412,12779,20620,937.394,1.73,1.8,11.91,1.857,0.042,1741,0
4157,4157,1654737488,-2.106,48.21,127,400,13216,20091,939.656,1.89,1.96,13.01,2.029,0.046,4157,1
60318,60318,1655127740,13.408,45.34,0,400,13161,21057,937.442,2.04,2.12,14.03,2.187,0.049,3432,0
12029,12029,1654745360,16.991,47.04,1042,586,12823,19462,939.011,1.99,2.07,13.7,2.136,0.048,12029,1
10637,10637,1654743968,2.41,55.28,877,647,12797,19505,939.075,2.25,2.34,15.51,2.418,0.055,10637,1
4688,4688,1654738019,-6.642,50.34,53,400,13247,20165,939.655,2.27,2.36,15.64,2.439,0.055,4688,1
52971,52971,1654714016,28.25,43.37,132,400,12794,20600,937.413,2.0,2.08,13.75,2.145,0.048,1829,0
52288,52288,1654713333,26.35,46.4,95,400,12780,20652,937.466,1.97,2.05,13.56,2.114,0.048,1146,0
369,369,1654733700,24.321,49.61,32,400,12682,19717,939.793,0.06,0.08,0.35,0.081,0.018,369,0
5412,5412,1654738743,-9.248,49.63,7,400,13264,20234,939.731,2.4,2.5,16.54,2.58,0.058,5412,1
26951,26951,1654763300,19.09,48.66,63,400,13125,19996,939.567,0.73,0.76,5.02,0.783,0.018,1957,0
27318,27318,1654763667,20.23,47.43,20,400,13207,20137,939.62,0.84,0.87,5.76,0.898,0.02,2324,0
